Club,AvgCompositeScore,PlayersAboveBreakpoint,TotalPlayers,BudgetMillions,EloLikeMetric
Arsenal,10.477272727272727,4,11,160,104.77272727272727
Aston Villa,10.477272727272727,4,11,120,104.77272727272727
Bournemouth,10.477272727272727,4,11,65,104.77272727272727
Brentford,10.477272727272727,4,11,55,104.77272727272727
Brighton,10.477272727272727,4,11,90,104.77272727272727
Chelsea,10.477272727272727,4,11,160,104.77272727272727
Crystal Palace,10.477272727272727,4,11,75,104.77272727272727
Everton,10.477272727272727,4,11,90,104.77272727272727
Fulham,10.477272727272727,4,11,70,104.77272727272727
Ipswich,10.477272727272727,4,11,55,104.77272727272727
Leicester,10.477272727272727,4,11,80,104.77272727272727
Liverpool,10.477272727272727,4,11,170,104.77272727272727
Manchester City,10.477272727272727,4,11,200,104.77272727272727
Manchester United,10.477272727272727,4,11,180,104.77272727272727
Newcastle,10.477272727272727,4,11,140,104.77272727272727
Nottingham Forest,10.477272727272727,4,11,50,104.77272727272727
Southampton,10.477272727272727,4,11,60,104.77272727272727
Tottenham,10.477272727272727,4,11,150,104.77272727272727
West Ham,10.477272727272727,4,11,100,104.77272727272727
Wolves,10.477272727272727,4,11,80,104.77272727272727
