Club,Position,PlayersNeeded,CurrentPlayers,RequiredPlayers,AvgCompositeScore,QualityGap,WeightedGap,PriorityFactor,StatDeficiencies
Manchester City,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Manchester City,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Manchester City,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Manchester City,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Manchester United,Goalkeeper,1,1,2,10.5,1.5,1.9500000000000002,1.3,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Manchester United,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Manchester United,Midfielder,1,4,2,10.0625,1.9375,2.90625,1.5,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Manchester United,Striker,1,2,2,11.5,0.5,0.6,1.2,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Liverpool,Goalkeeper,1,1,2,10.5,1.5,1.7999999999999998,1.2,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Liverpool,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Liverpool,Midfielder,1,4,2,10.0625,1.9375,2.5187500000000003,1.3,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Liverpool,Striker,1,2,2,11.5,0.5,0.75,1.5,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Arsenal,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Arsenal,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Arsenal,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Arsenal,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Chelsea,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Chelsea,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Chelsea,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Chelsea,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Tottenham,Goalkeeper,1,1,2,10.5,1.5,1.9500000000000002,1.3,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Tottenham,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Tottenham,Midfielder,1,4,2,10.0625,1.9375,2.90625,1.5,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Tottenham,Striker,1,2,2,11.5,0.5,0.6,1.2,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Newcastle,Goalkeeper,1,1,2,10.5,1.5,1.7999999999999998,1.2,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Newcastle,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Newcastle,Midfielder,1,4,2,10.0625,1.9375,2.5187500000000003,1.3,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Newcastle,Striker,1,2,2,11.5,0.5,0.75,1.5,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Aston Villa,Goalkeeper,1,1,2,10.5,1.5,1.7999999999999998,1.2,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Aston Villa,Defender,1,4,2,10.375,1.625,1.625,1.0,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Aston Villa,Midfielder,1,4,2,10.0625,1.9375,2.5187500000000003,1.3,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Aston Villa,Striker,1,2,2,11.5,0.5,0.75,1.5,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
West Ham,Goalkeeper,1,1,2,10.5,1.5,2.0999999999999996,1.4,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
West Ham,Defender,1,4,2,10.375,1.625,1.95,1.2,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
West Ham,Midfielder,1,4,2,10.0625,1.9375,1.9375,1.0,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
West Ham,Striker,1,2,2,11.5,0.5,0.65,1.3,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
Everton,Goalkeeper,1,1,2,10.5,1.5,2.25,1.5,"{'CommandOfArea': 9.0, 'Handling': 13.0, 'Reflexes': 13.0, 'OneOnOnes': 7.0}"
Everton,Defender,1,4,2,10.375,1.625,2.1125000000000003,1.3,"{'Tackling': 10.25, 'Marking': 11.0, 'Heading': 10.25, 'Positioning': 10.0}"
Everton,Midfielder,1,4,2,10.0625,1.9375,2.3249999999999997,1.2,"{'Passing': 11.25, 'Vision': 10.5, 'Decisions': 10.25, 'Technique': 8.25}"
Everton,Striker,1,2,2,11.5,0.5,0.5,1.0,"{'Finishing': 13.5, 'OffTheBall': 13.0, 'Composure': 8.5, 'Heading': 11.0}"
