Club,Position,PlayerName,PlayerUID,CurrentClub,Age,CompositeScore,EstimatedCostMillions,QualityGap,WeightedGap,KeyStats
Manchester City,Goalkeeper,Manuel Neuer,8718372,Free Agent,30,18.0,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 19, 'Handling': 16, 'Reflexes': 18, 'OneOnOnes': 19}"
Manchester City,Defender,Per Mertesacker,8707357,Free Agent,31,17.5,100.0,1.625,1.95,"{'Tackling': 18, 'Marking': 18, 'Heading': 16, 'Positioning': 18}"
Manchester United,Midfielder,Lionel Messi,7458500,Free Agent,29,20.0,100.0,1.9375,2.90625,"{'Passing': 20, 'Vision': 20, 'Decisions': 20, 'Technique': 20}"
Manchester United,Goalkeeper,Gianluigi Buffon,11133,Free Agent,38,17.5,100.0,1.5,1.9500000000000002,"{'CommandOfArea': 20, 'Handling': 14, 'Reflexes': 19, 'OneOnOnes': 17}"
Liverpool,Midfielder,Xavi,4200583,Free Agent,36,19.5,100.0,1.9375,2.5187500000000003,"{'Passing': 20, 'Vision': 20, 'Decisions': 20, 'Technique': 18}"
Liverpool,Goalkeeper,Jan Oblak,64016316,Free Agent,23,17.25,100.0,1.5,1.7999999999999998,"{'CommandOfArea': 14, 'Handling': 19, 'Reflexes': 19, 'OneOnOnes': 17}"
Arsenal,Goalkeeper,Joe Hart,5119142,Free Agent,29,17.0,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 15, 'Handling': 17, 'Reflexes': 17, 'OneOnOnes': 19}"
Arsenal,Defender,Laurent Koscielny,8442484,Free Agent,30,17.25,100.0,1.625,1.95,"{'Tackling': 19, 'Marking': 17, 'Heading': 17, 'Positioning': 16}"
Chelsea,Goalkeeper,Samir Handanovic,7582392,Free Agent,31,17.0,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 15, 'Handling': 16, 'Reflexes': 20, 'OneOnOnes': 17}"
Chelsea,Defender,Giorgio Chiellini,831079,Free Agent,31,17.0,100.0,1.625,1.95,"{'Tackling': 18, 'Marking': 17, 'Heading': 16, 'Positioning': 17}"
Tottenham,Midfielder,Andrés Iniesta,824041,Free Agent,32,19.25,100.0,1.9375,2.90625,"{'Passing': 18, 'Vision': 20, 'Decisions': 19, 'Technique': 20}"
Tottenham,Goalkeeper,David De Gea,67030171,Free Agent,25,16.75,100.0,1.5,1.9500000000000002,"{'CommandOfArea': 15, 'Handling': 18, 'Reflexes': 19, 'OneOnOnes': 15}"
Newcastle,Midfielder,Mesut Özil,35002219,Free Agent,27,19.0,100.0,1.9375,2.5187500000000003,"{'Passing': 19, 'Vision': 20, 'Decisions': 18, 'Technique': 19}"
Newcastle,Goalkeeper,Fraser Forster,5128263,Free Agent,28,16.5,100.0,1.5,1.7999999999999998,"{'CommandOfArea': 16, 'Handling': 16, 'Reflexes': 18, 'OneOnOnes': 16}"
Aston Villa,Midfielder,Andrea Pirlo,703963,Free Agent,37,18.75,100.0,1.9375,2.5187500000000003,"{'Passing': 20, 'Vision': 20, 'Decisions': 17, 'Technique': 18}"
Aston Villa,Goalkeeper,Bernd Leno,92012109,Free Agent,24,16.25,100.0,1.5,1.7999999999999998,"{'CommandOfArea': 15, 'Handling': 16, 'Reflexes': 17, 'OneOnOnes': 17}"
West Ham,Goalkeeper,Wojciech Szczesny,28009478,Free Agent,26,16.25,100.0,1.5,2.0999999999999996,"{'CommandOfArea': 15, 'Handling': 16, 'Reflexes': 16, 'OneOnOnes': 18}"
West Ham,Defender,Sergio Ramos,7458272,Free Agent,30,17.0,100.0,1.625,1.95,"{'Tackling': 18, 'Marking': 16, 'Heading': 20, 'Positioning': 14}"
